Time (min),Temperature (°C),Heat Flow (W/g)
1.15,35.62,-0.1709843597
1.15,35.63,-0.1710058746
1.15,35.65,-0.1710261536
1.15,35.67,-0.1710471649
1.15,35.68,-0.1710690155
1.16,35.7,-0.1710913239
1.16,35.71,-0.1711139526
1.16,35.73,-0.1711361694
1.16,35.75,-0.1711593018
1.16,35.77,-0.1711813660
1.16,35.78,-0.1712028351
1.17,35.8,-0.1712240601
1.17,35.81,-0.1712453156
1.17,35.83,-0.1712665405
1.17,35.85,-0.1712875214
1.17,35.86,-0.1713083801
1.17,35.88,-0.1713307495
1.18,35.9,-0.1713523102
1.18,35.91,-0.1713741302
1.18,35.93,-0.1713947754
1.18,35.95,-0.1714157867
1.18,35.96,-0.1714368286
1.18,35.98,-0.1714563751
1.18,36,-0.1714766846
1.19,36.01,-0.1714961548
1.19,36.03,-0.1715147858
1.19,36.05,-0.1715336761
1.19,36.06,-0.1715536499
1.19,36.08,-0.1715743866
1.19,36.1,-0.1715950165
1.2,36.11,-0.1716144867
1.2,36.13,-0.1716348267
1.2,36.15,-0.1716548615
1.2,36.16,-0.1716760864
1.2,36.18,-0.1716961212
1.21,36.2,-0.1717172394
1.21,36.21,-0.1717384491
1.21,36.23,-0.1717593231
1.21,36.25,-0.1717800903
1.21,36.26,-0.1718010559
1.21,36.28,-0.1718224792
1.22,36.3,-0.1718439789
1.22,36.31,-0.1718654327
1.22,36.33,-0.1718861084
1.22,36.35,-0.1719071960
1.22,36.36,-0.1719279480
1.22,36.38,-0.1719468231
1.23,36.4,-0.1719648895
1.23,36.41,-0.1719835815
1.23,36.43,-0.1720034943
1.23,36.45,-0.1720243835
1.23,36.46,-0.1720450745
1.23,36.48,-0.1720650940
1.23,36.49,-0.1720847168
1.24,36.51,-0.1721033325
1.24,36.53,-0.1721225128
1.24,36.54,-0.1721413727
1.24,36.56,-0.1721608429
1.24,36.58,-0.1721783447
1.24,36.59,-0.1721959839
1.25,36.61,-0.1722151184
1.25,36.63,-0.1722346191
1.25,36.64,-0.1722542419
1.25,36.66,-0.1722737122
1.25,36.68,-0.1722920227
1.26,36.7,-0.1723106842
1.26,36.71,-0.1723299408
1.26,36.73,-0.1723487091
1.26,36.74,-0.1723677979
1.26,36.76,-0.1723855438
1.26,36.78,-0.1724042358
1.27,36.79,-0.1724234772
1.27,36.81,-0.1724440918
1.27,36.83,-0.1724637604
1.27,36.84,-0.1724843140
1.27,36.86,-0.1725051270
1.27,36.88,-0.1725249329
1.28,36.89,-0.1725431213
1.28,36.91,-0.1725618439
1.28,36.93,-0.1725804749
1.28,36.94,-0.1726000366
1.28,36.96,-0.1726188049
1.28,36.98,-0.1726371460
1.28,36.99,-0.1726573029
1.29,37.01,-0.1726776123
1.29,37.03,-0.1726981812
1.29,37.04,-0.1727187805
1.29,37.06,-0.1727388458
1.29,37.08,-0.1727567596
1.29,37.09,-0.1727757111
1.3,37.11,-0.1727938080
1.3,37.13,-0.1728118744
1.3,37.14,-0.1728305817
1.3,37.16,-0.1728489075
1.3,37.18,-0.1728688202
1.31,37.19,-0.1728887177
1.31,37.21,-0.1729077301
1.31,37.23,-0.1729264221
1.31,37.24,-0.1729457703
1.31,37.26,-0.1729645081
1.31,37.28,-0.1729828949
1.32,37.29,-0.1730012054
1.32,37.31,-0.1730194397
1.32,37.33,-0.1730361481
1.32,37.34,-0.1730548553
1.32,37.36,-0.1730746002
1.32,37.38,-0.1730924835
1.33,37.39,-0.1731092987
1.33,37.41,-0.1731259155
1.33,37.43,-0.1731428986
1.33,37.44,-0.1731594696
1.33,37.46,-0.1731759949
1.33,37.48,-0.1731922760
1.33,37.49,-0.1732093353
1.34,37.51,-0.1732268219
1.34,37.52,-0.1732448120
1.34,37.54,-0.1732638397
1.34,37.56,-0.1732836456
1.34,37.58,-0.1733019867
1.34,37.59,-0.1733213196
1.35,37.61,-0.1733395996
1.35,37.62,-0.1733570557
1.35,37.64,-0.1733735046
1.35,37.66,-0.1733902893
1.35,37.68,-0.1734067993
1.36,37.69,-0.1734242401
1.36,37.71,-0.1734418335
1.36,37.73,-0.1734591370
1.36,37.74,-0.1734759521
1.36,37.76,-0.1734935913
1.36,37.78,-0.1735108490
1.37,37.79,-0.1735281677
1.37,37.81,-0.1735454407
1.37,37.82,-0.1735632629
1.37,37.84,-0.1735807953
1.37,37.86,-0.1735994873
1.37,37.87,-0.1736189423
1.38,37.89,-0.1736390533
1.38,37.91,-0.1736583862
1.38,37.92,-0.1736782837
1.38,37.94,-0.1736973724
