Temperaturee (°C),Heat flow (W/g)
85.098,-0.0819366
85.1154,-0.0819355
85.1317,-0.0819328
85.1475,-0.0819311
85.1651,-0.0819308
85.1817,-0.0819264
85.1986,-0.0819221
85.2153,-0.0819196
85.2319,-0.0819165
85.2479,-0.0819125
85.2644,-0.0819089
85.2823,-0.0819062
85.2984,-0.0819048
85.3147,-0.0819025
85.3312,-0.0819016
85.3485,-0.0819005
85.365,-0.0818978
85.382,-0.0818967
85.3981,-0.0818972
85.4146,-0.0818984
85.4314,-0.0818985
85.4478,-0.0818971
85.4644,-0.0818931
85.4813,-0.0818915
85.4982,-0.0818885
85.514,-0.0818857
85.5312,-0.0818826
85.5477,-0.0818802
85.5648,-0.0818787
85.5814,-0.0818778
85.5976,-0.0818773
85.6151,-0.0818763
85.6321,-0.0818721
85.6483,-0.0818688
85.6652,-0.0818653
85.6816,-0.0818622
85.6983,-0.081859
85.7141,-0.0818558
85.7315,-0.0818536
85.7483,-0.081852
85.7644,-0.0818537
85.781,-0.0818558
85.7981,-0.081856
85.8148,-0.0818542
85.8313,-0.0818535
85.8477,-0.0818518
85.8646,-0.0818494
85.8812,-0.0818475
85.8979,-0.0818438
85.9151,-0.0818434
85.9321,-0.0818435
85.9479,-0.0818427
85.9654,-0.0818435
85.981,-0.0818424
85.9984,-0.0818393
86.0146,-0.0818354
86.0312,-0.0818297
86.0472,-0.0818255
86.0639,-0.0818254
86.0808,-0.0818254
86.0976,-0.0818251
86.1134,-0.0818246
86.13,-0.0818259
86.1481,-0.0818258
86.1641,-0.0818258
86.1805,-0.0818233
86.1974,-0.08182
86.2148,-0.0818148
86.2308,-0.08181
86.2478,-0.0818064
86.2637,-0.0818051
86.2805,-0.0818058
86.298,-0.0818029
86.3141,-0.0817984
86.3314,-0.0817939
86.3488,-0.0817915
86.3641,-0.0817903
86.3808,-0.0817887
86.3973,-0.0817844
86.4148,-0.0817815
86.4308,-0.0817799
86.448,-0.0817799
86.4645,-0.0817794
86.4808,-0.0817805
86.4976,-0.0817799
86.5153,-0.0817774
86.5307,-0.0817739
86.5487,-0.0817727
86.566,-0.0817705
86.581,-0.0817661
86.5984,-0.0817619
86.6151,-0.081758
86.6319,-0.081753
86.6486,-0.0817481
86.6647,-0.0817459
86.6818,-0.0817441
86.6981,-0.0817419
86.7148,-0.0817404
86.7311,-0.0817396
86.7489,-0.0817392
86.7654,-0.0817389
86.7814,-0.0817392
86.7979,-0.0817356
86.8149,-0.0817334
86.8309,-0.0817308
86.8481,-0.0817312
86.8643,-0.0817331
86.8816,-0.0817349
86.899,-0.0817355
86.9154,-0.0817353
86.9322,-0.0817337
86.9488,-0.0817323
86.9656,-0.0817304
86.9817,-0.0817304
86.9984,-0.0817319
87.016,-0.08173
87.0327,-0.0817308
87.0488,-0.0817309
87.0663,-0.0817305
87.0823,-0.0817297
87.0985,-0.0817296
87.1158,-0.0817293
87.1322,-0.0817277
87.1494,-0.0817267
87.1657,-0.0817266
87.182,-0.0817258
87.1983,-0.0817233
87.2152,-0.0817215
87.2319,-0.0817197
87.2494,-0.0817157
87.2654,-0.0817109
87.2827,-0.0817072
87.2985,-0.0817036
87.3153,-0.0817011
87.3325,-0.0816995
87.3495,-0.0816982
87.3654,-0.0816962
87.3826,-0.0816951
87.3988,-0.0816931
87.415,-0.0816938
87.4323,-0.0816932
87.4485,-0.0816923
87.4652,-0.0816927
87.482,-0.0816942
87.4991,-0.0816929
87.5152,-0.0816938
87.5322,-0.0816944
87.5484,-0.0816943
87.5656,-0.0816934
87.5817,-0.0816918
87.5992,-0.081692
87.6159,-0.0816936
87.6321,-0.0816986
87.6489,-0.0817023
87.6645,-0.0817063
87.6821,-0.0817083
87.6985,-0.081709
87.7159,-0.081708
87.7323,-0.0817064
87.7486,-0.0817045
87.7658,-0.0817017
87.7827,-0.081695
87.7987,-0.0816902
87.8153,-0.0816875
87.8326,-0.0816841
87.8483,-0.081684
87.866,-0.0816839
87.8827,-0.0816852
87.8991,-0.0816824
87.9154,-0.0816764
87.9329,-0.0816727
87.9487,-0.0816671
87.9655,-0.0816616
87.9816,-0.0816552
87.9987,-0.0816513
88.0143,-0.0816511
88.0324,-0.081652
88.0488,-0.0816552
88.0658,-0.0816606
88.083,-0.0816651
88.0991,-0.0816673
88.116,-0.0816664
88.1323,-0.081666
88.1484,-0.0816644
88.1652,-0.0816628
88.1815,-0.0816618
88.1984,-0.0816592
88.2165,-0.0816601
88.232,-0.0816598
88.2491,-0.0816581
88.2652,-0.0816578
88.2826,-0.0816561
88.2995,-0.0816551
88.3155,-0.0816529
88.3324,-0.0816504
88.3487,-0.0816479
88.3656,-0.0816458
88.3829,-0.0816449
88.3988,-0.0816438
88.415,-0.0816428
88.4322,-0.0816413
88.4488,-0.0816416
88.4657,-0.0816411
88.4821,-0.081641
88.4989,-0.0816412
88.5153,-0.0816421
88.5322,-0.0816446
88.5491,-0.0816475
