Temperaturee (°C),Heat flow (W/g)
84.7522,-0.250491
84.7683,-0.2505
84.7851,-0.250511
84.8028,-0.25052
84.8184,-0.25052
84.8356,-0.250512
84.8526,-0.2505
84.8687,-0.250483
84.8847,-0.250467
84.9027,-0.250456
84.919,-0.250443
84.9353,-0.25044
84.9521,-0.250446
84.9689,-0.250447
84.986,-0.25045
85.0026,-0.250458
85.0192,-0.250461
85.0362,-0.250456
85.052,-0.250452
85.0688,-0.25045
85.0848,-0.250446
85.1018,-0.250435
85.1188,-0.250428
85.1348,-0.250432
85.1518,-0.250435
85.1685,-0.250434
85.1852,-0.250432
85.2019,-0.250426
85.2193,-0.250416
85.2358,-0.250412
85.2521,-0.25041
85.2682,-0.25041
85.2854,-0.250409
85.301,-0.250409
85.3183,-0.250414
85.3352,-0.250422
85.3517,-0.250426
85.3678,-0.250429
85.3853,-0.250429
85.4022,-0.250417
85.4189,-0.250406
85.4348,-0.250398
85.4518,-0.250393
85.4682,-0.250391
85.4843,-0.250397
85.5011,-0.250402
85.5186,-0.250413
85.5355,-0.250422
85.5516,-0.250434
85.5684,-0.250443
85.585,-0.250448
85.6022,-0.250448
85.6179,-0.250444
85.6353,-0.250437
85.6509,-0.250437
85.6679,-0.250441
85.6852,-0.250438
85.7015,-0.250434
85.7185,-0.250425
85.7357,-0.250423
85.7526,-0.250416
85.7682,-0.250401
85.7853,-0.250392
85.8023,-0.250377
85.8192,-0.250361
85.8355,-0.250346
85.8514,-0.25034
85.8684,-0.250332
85.8849,-0.250329
85.902,-0.250327
85.9185,-0.250331
85.9346,-0.250333
85.9512,-0.250335
85.969,-0.250344
85.9865,-0.250345
86.0022,-0.250349
86.0185,-0.25035
86.0351,-0.250353
86.0529,-0.250357
86.0684,-0.250353
86.0858,-0.25035
86.1023,-0.250345
86.1186,-0.250339
86.1354,-0.250337
86.1506,-0.250343
86.1687,-0.250339
86.1846,-0.250334
86.201,-0.250332
86.2181,-0.250332
86.2351,-0.250339
86.2514,-0.250344
