Temperature (°C),Heat flow (W/g)
90.42,-0.229
90.43,-0.229
90.45,-0.229
90.47,-0.229
90.49,-0.229
90.5,-0.23
90.52,-0.23
90.53,-0.23
90.55,-0.23
90.57,-0.23
90.58,-0.23
90.6,-0.23
90.62,-0.23
90.63,-0.23
90.65,-0.23
90.67,-0.23
90.68,-0.23
90.7,-0.23
90.72,-0.23
90.73,-0.23
90.75,-0.23
90.77,-0.23
90.78,-0.23
90.8,-0.23
90.82,-0.23
90.83,-0.23
90.85,-0.23
90.87,-0.23
90.88,-0.23
90.9,-0.23
90.92,-0.23
90.93,-0.23
90.95,-0.23
90.97,-0.23
90.98,-0.23
91.0,-0.23
91.02,-0.23
91.03,-0.23
91.05,-0.23
91.07,-0.23
91.08,-0.23
91.1,-0.23
91.12,-0.23
91.14,-0.23
91.15,-0.23
91.17,-0.23
91.18,-0.23
91.2,-0.23
91.22,-0.23
91.24,-0.23
91.25,-0.23
91.27,-0.23
91.28,-0.23
91.3,-0.23
91.32,-0.23
91.33,-0.23
91.35,-0.23
91.37,-0.23
91.38,-0.23
91.4,-0.23
91.42,-0.23
91.43,-0.23
91.45,-0.23
91.47,-0.23
91.48,-0.23
91.5,-0.23
91.52,-0.23
91.53,-0.23
91.55,-0.23
91.57,-0.23
91.58,-0.23
91.6,-0.23
91.62,-0.23
91.63,-0.23
91.65,-0.23
91.67,-0.23
91.68,-0.23
91.7,-0.23
91.72,-0.23
91.74,-0.23
91.75,-0.23
91.77,-0.23
91.78,-0.23
91.8,-0.23
91.82,-0.23
91.83,-0.23
91.85,-0.23
91.87,-0.23
91.89,-0.23
91.9,-0.23
91.92,-0.23
91.94,-0.23
91.95,-0.23
91.97,-0.23
91.98,-0.23
92.0,-0.23
92.02,-0.23
92.03,-0.23
92.05,-0.23
92.07,-0.23
92.08,-0.23
92.1,-0.23
92.12,-0.23
92.13,-0.23
92.15,-0.23
92.17,-0.23
92.19,-0.23
92.2,-0.23
92.22,-0.23
92.24,-0.23
92.25,-0.23
92.27,-0.23
92.29,-0.23
92.3,-0.23
92.32,-0.23
92.34,-0.23
92.35,-0.23
92.37,-0.23
92.39,-0.23
92.4,-0.23
92.42,-0.23
92.44,-0.23
92.45,-0.23
92.47,-0.231
92.49,-0.231
92.5,-0.231
92.52,-0.231
92.54,-0.231
92.55,-0.231
92.57,-0.231
92.58,-0.231
92.6,-0.231
92.62,-0.231
92.64,-0.231
92.65,-0.231
92.67,-0.231
92.69,-0.231
92.7,-0.231
92.72,-0.231
92.74,-0.231
92.75,-0.231
92.77,-0.231
92.78,-0.231
92.8,-0.231
92.82,-0.231
92.84,-0.231
92.85,-0.231
92.87,-0.231
92.89,-0.231
92.9,-0.231
92.92,-0.231
92.93,-0.231
92.95,-0.231
92.97,-0.231
92.99,-0.231
93.0,-0.231
93.02,-0.231
93.04,-0.231
93.05,-0.231
93.07,-0.231
93.09,-0.231
93.1,-0.231
93.12,-0.231
93.14,-0.231
93.15,-0.231
93.17,-0.231
93.19,-0.231
93.2,-0.231
93.22,-0.231
93.24,-0.231
93.25,-0.231
93.27,-0.231
93.29,-0.231
93.3,-0.231
93.32,-0.231
93.34,-0.231
93.35,-0.231
93.37,-0.231
93.39,-0.231
93.4,-0.231
93.42,-0.231
93.44,-0.231
93.45,-0.231
93.47,-0.231
93.48,-0.231
93.5,-0.231
93.52,-0.231
93.54,-0.231
93.55,-0.231
93.57,-0.231
93.59,-0.231
93.6,-0.231
93.62,-0.231
93.64,-0.231
93.65,-0.231
93.67,-0.231
93.69,-0.231
93.7,-0.231
93.72,-0.231
93.74,-0.231
93.75,-0.231
93.77,-0.231
93.79,-0.231
93.8,-0.231
93.82,-0.231
93.84,-0.231
93.85,-0.231
93.87,-0.231
93.89,-0.231
93.9,-0.231
93.92,-0.231
93.94,-0.231
93.95,-0.231
93.97,-0.231
93.99,-0.231
94.0,-0.231
94.02,-0.231
94.04,-0.231
94.05,-0.231
94.07,-0.231
94.09,-0.231
94.1,-0.231
94.12,-0.231
94.14,-0.231
94.15,-0.231
94.17,-0.231
94.19,-0.231
94.2,-0.231
94.22,-0.231
94.24,-0.231
94.25,-0.231
94.27,-0.231
94.29,-0.231
94.3,-0.231
94.32,-0.231
94.34,-0.231
94.35,-0.231
94.37,-0.231
94.39,-0.231
94.4,-0.231
94.42,-0.231
94.44,-0.231
94.45,-0.232
94.47,-0.232
